TRADEDATE,MGNT,LNTA,MVID,FIVE
2014-09-02,0.012283794882152355,0.011696039763191236,-0.029479436112321157,
2014-09-03,0.043352862422493005,0.02523699076517814,0.0796318079230999,
2014-09-04,0.010445615455207839,-0.013722146432571497,-0.013884889126762175,
2014-09-05,0.02513373551180823,0.009176580752230084,0.016498349929769198,
2014-09-08,-0.016546396114408942,0.011347928659780017,-0.01252604892321929,
2014-09-09,0.017571511529654353,0.0004278363928849263,0.002588768228334854,
2014-09-10,0.005109873152270644,0.0016645675968713475,-0.03749858336536124,
2014-09-11,0.012057494474185342,-0.006335627979226241,0.00393959800408031,
2014-09-12,-0.0004331686352906672,-0.051302817924973335,-0.011600446460200187,
2014-09-15,-0.004817777490176088,0.014160825751589232,0.024569715981839702,
2014-09-16,0.012376271068055375,0.018605187831034486,-0.0049282905237102445,
2014-09-17,-0.018978966597802856,-0.011657547687539287,0.001091504565343171,
2014-09-18,0.0028495846679191337,0.023044087197377154,0.0025422203631798464,
2014-09-19,-0.019497795713267478,-0.013693345607752977,0.01030990110647679,
2014-09-22,-0.012513197684783836,-0.0022889918781456068,0.003838972800178135,
2014-09-23,0.022822567343644976,0.000208306813543407,0.03148044940353128,
2014-09-24,0.019299735658726967,-0.023248966419678753,0.029654923739191368,
2014-09-25,0.006018072325562945,0.03909133655696267,-0.00038454143907814804,
2014-09-26,-0.004309271588098403,0.004568137851545345,-0.03423317164224221,
2014-09-29,-0.011261323402859439,-0.025166069929228197,-0.015997934031091208,
2014-09-30,0.007538423293693742,0.0067900565617958425,0.015997934031091236,
2014-10-01,-0.00354458106325737,-0.016252191289913905,0.001988072225386115,
2014-10-02,-0.011691874178832622,0.025493848826219766,-0.007475738778107515,
2014-10-03,0.021967781206306304,-0.013825104991842318,-0.0035078963558566054,
2014-10-06,0.026578652917316602,0.004629637898741976,-0.0020100509280241118,
2014-10-07,-0.019395144026113007,-0.0023121397583795024,-0.0025182586967234123,
2014-10-08,-0.006082683160822508,0.01379332213233577,-0.006069821367075834,
2014-10-09,0.024404708699484464,-0.002285715280855951,-0.0005074854206859569,
2014-10-10,0.0034104783361559995,0.004566217979581184,-0.025187658963477584,
2014-10-13,-0.0019474202843955666,0.004545462371674638,-0.02690745291992427,
2014-10-14,0.012590965368512466,-0.0535634429220897,0.009579636856813815,
2014-10-15,-0.016683147599410735,-0.034066554563606195,-0.018172600579645544,
2014-10-16,-0.00668695202392894,-0.03270731797578433,0.0,
2014-10-17,-0.016890615164423733,0.02525386732120341,0.024508419028731257,
2014-10-20,-0.0030205894546316034,0.041520005218187044,0.0,
2014-10-21,0.013486670537434116,0.0071514011576250865,-0.016450357698968954,
